"date_stamp","count","user_id","product_id"
"2016/02/24","3","4","2971"
"2012/06/08","1","497","5594"
"2012/07/26","1","191","1359"
"2018/02/10","2","96","6901"
"2021/09/14","2","744","3827"
"2015/04/13","3","913","2470"
"2019/02/18","2","83","3233"
"2018/09/11","2","206","2778"
"2017/08/03","4","534","3062"
"2021/09/24","1","280","3018"
"2015/07/21","4","310","7144"
"2012/04/26","3","366","6478"
"2016/10/11","4","974","6620"
"2014/06/13","1","980","1091"
"2018/11/07","1","792","6694"
"2019/10/18","2","581","6950"
"2021/06/08","4","897","5892"
"2020/10/05","1","294","3075"
"2017/01/19","2","777","2484"
"2019/07/09","4","613","4006"
"2018/10/28","3","915","3946"
"2021/12/04","4","545","3984"
"2015/01/21","2","364","6355"
"2017/07/28","1","714","3400"
"2012/11/01","2","778","7611"
"2018/05/26","3","282","6573"
"2017/03/05","4","704","4792"
"2021/03/31","4","332","3497"
"2016/09/24","1","106","2499"
"2018/04/30","2","44","3324"
"2020/05/29","3","954","6112"
"2013/11/20","3","714","4620"
"2014/03/08","3","839","818"
"2014/02/25","2","623","3814"
"2020/10/21","1","510","5201"
"2021/07/30","1","17","4251"
"2015/04/12","4","198","7345"
"2021/11/09","4","942","5475"
"2015/12/06","3","674","7456"
"2019/12/21","3","504","2058"
"2017/05/20","1","864","3169"
"2019/09/06","2","706","1893"
"2013/06/26","4","512","191"
"2019/06/17","3","803","4298"
"2021/05/23","1","758","7825"
"2021/01/24","1","893","3779"
"2018/03/28","4","459","1183"
"2013/04/22","3","815","7495"
"2017/11/04","3","916","4223"
"2016/05/26","2","874","5436"
"2013/07/10","4","65","2151"
"2016/06/20","1","968","4296"
"2013/08/19","3","768","5232"
"2021/04/12","4","518","7953"
"2019/01/14","3","224","7832"
"2019/03/31","1","850","6310"
"2019/09/07","1","477","6098"
"2017/07/05","2","103","1625"
"2021/08/19","3","273","981"
"2018/07/29","3","960","7238"
"2019/10/10","4","962","2840"
"2016/01/07","3","64","5946"
"2019/08/31","4","468","3963"
"2017/11/23","3","432","2962"
"2020/12/08","3","803","7530"
"2018/02/28","3","773","2337"
"2016/08/16","4","592","2800"
"2014/01/29","3","926","3311"
"2014/03/17","1","327","905"
"2021/09/19","3","461","82"
"2017/03/02","3","747","5332"
"2017/01/07","1","707","5055"
"2014/08/26","4","981","6952"
"2013/12/07","2","201","6264"
"2020/12/09","2","833","1879"
"2013/07/18","4","936","3241"
"2017/08/09","1","388","1207"
"2015/12/08","2","535","5355"
"2018/02/07","4","673","4093"
"2020/11/27","4","744","2307"
"2021/08/15","4","412","6156"
"2013/03/21","4","780","1840"
"2018/08/31","3","397","7878"
"2021/10/23","4","339","1480"
"2019/09/03","1","136","3743"
"2018/11/01","1","386","3708"
"2016/11/27","1","373","3104"
"2017/05/06","4","588","6785"
"2021/10/24","2","696","6159"
"2012/04/24","2","913","5821"
"2018/11/17","4","745","4493"
"2018/10/28","4","969","570"
"2021/11/13","3","691","4155"
"2018/04/16","3","192","2129"
"2018/04/03","2","566","429"
"2013/02/14","2","590","6740"
"2020/09/27","3","169","4845"
"2013/06/11","1","78","6377"
"2016/05/20","3","434","5586"
"2018/10/24","1","135","6032"
"2020/01/12","2","68","2489"
"2018/06/08","1","962","435"
"2021/05/31","1","676","3132"
"2019/06/24","4","111","383"
"2017/06/16","4","545","7993"
"2017/08/03","3","692","1517"
"2017/08/04","2","229","923"
"2015/01/22","2","596","7123"
"2017/06/21","1","635","3888"
"2016/05/26","4","988","4563"
"2015/06/25","1","657","7466"
"2020/10/10","1","890","5954"
"2020/12/31","3","421","3278"
"2013/11/07","1","661","5706"
"2017/10/05","1","110","1581"
"2019/09/11","3","988","805"
"2012/05/20","2","150","1798"
"2012/03/05","1","11","7219"
"2017/07/17","2","431","4538"
"2014/07/31","4","690","2433"
"2017/03/12","1","597","831"
"2016/10/08","2","726","3518"
"2013/03/31","3","201","5142"
"2021/08/01","1","373","6263"
"2019/02/18","2","441","287"
"2022/01/14","2","356","3743"
"2015/06/05","1","131","545"
"2013/01/01","3","999","5207"
"2021/03/09","4","474","5969"
"2012/08/04","1","28","7156"
"2012/06/11","3","916","6755"
"2012/10/23","2","880","3338"
"2020/03/17","4","120","6080"
"2018/07/28","4","575","1001"
"2014/09/28","1","544","2684"
"2014/10/07","4","908","3083"
"2015/03/10","2","975","7678"
"2012/12/18","3","494","700"
"2020/09/28","4","876","164"
"2019/05/24","1","637","2178"
"2017/01/30","3","913","2888"
"2020/02/13","1","316","3190"
"2017/04/14","1","442","3825"
"2016/06/18","1","455","4942"
"2021/12/01","1","754","4439"
"2013/06/23","4","961","3908"
"2015/05/25","2","372","2789"
"2016/02/03","1","431","5501"
"2017/06/04","3","481","2626"
"2017/03/22","2","467","361"
"2015/05/16","2","693","1037"
"2015/02/04","1","27","6422"
"2018/04/17","2","647","2997"
"2012/05/25","1","155","2437"
"2018/08/11","2","429","4976"
"2019/05/25","3","804","2770"
"2012/03/14","3","808","6140"
"2020/03/16","2","822","3533"
"2015/10/20","3","358","5060"
"2015/11/30","1","640","937"
"2018/09/14","1","606","7669"
"2014/11/06","3","911","5300"
"2012/10/09","4","774","1479"
"2018/09/10","1","533","1650"
"2014/05/14","4","559","3997"
"2021/12/08","4","779","4218"
"2016/11/12","3","145","7830"
"2013/05/03","4","171","1399"
"2016/08/15","4","599","3787"
"2016/04/28","3","297","4431"
"2017/02/07","2","219","1281"
"2021/01/31","3","695","81"
"2021/12/22","4","955","5955"
"2013/08/10","3","833","2221"
