"date_stamp","user_id","comment_id"
"2021/03/08","306","7864"
"2019/09/17","291","6817"
"2013/03/28","802","730"
"2020/09/23","626","7155"
"2021/11/14","55","838"
"2014/02/12","649","2374"
"2014/07/04","728","3851"
"2019/12/05","635","2754"
"2019/12/03","733","5714"
"2012/04/02","707","3604"
"2017/05/26","140","6573"
"2013/01/06","302","322"
"2012/04/03","75","1011"
"2020/08/03","462","533"
"2013/05/04","959","251"
"2017/08/03","467","5000"
"2021/10/04","460","154"
"2016/12/04","867","6329"
"2016/11/26","859","1270"
"2016/10/26","359","4052"
"2017/03/27","193","7937"
"2016/12/22","25","512"
"2016/01/28","334","6314"
"2018/08/23","417","4016"
"2017/09/27","441","6471"
"2020/02/08","610","70"
"2016/08/17","603","3109"
"2017/07/06","827","2053"
"2012/04/06","244","3113"
"2021/06/24","529","3538"
"2017/03/21","900","6192"
"2014/10/09","835","5507"
"2018/05/11","257","6948"
"2016/11/11","993","3052"
"2021/04/09","901","1236"
"2017/05/04","214","7709"
"2020/09/26","142","2339"
"2021/11/13","515","5407"
"2021/07/29","353","3442"
"2019/02/24","463","6061"
"2016/02/12","750","6061"
"2012/11/14","528","5180"
"2020/10/30","180","5563"
"2014/10/25","599","6431"
"2013/12/03","531","579"
"2020/03/22","619","6900"
"2016/02/05","596","1064"
"2018/03/20","632","7883"
"2021/12/11","801","1977"
"2012/12/25","584","3348"
"2021/08/08","19","5954"
"2017/03/13","63","3785"
"2021/09/28","807","3086"
"2016/06/13","779","2980"
"2021/03/14","813","4837"
"2012/08/14","27","5315"
"2013/12/09","726","6329"
"2015/01/28","505","1525"
"2017/12/01","156","4691"
"2017/10/02","905","7403"
"2017/12/14","20","2825"
"2016/12/31","375","2779"
"2018/02/20","546","5925"
"2012/05/16","514","3140"
"2020/11/12","807","4272"
"2014/12/03","906","3630"
"2019/01/14","760","6231"
"2015/11/06","213","2676"
"2014/08/14","153","4158"
"2020/07/08","806","4353"
"2019/12/28","272","2771"
"2016/02/09","538","6659"
"2019/07/30","450","2812"
"2014/10/24","663","3183"
"2017/03/07","442","231"
"2015/11/22","208","6221"
"2020/06/27","285","833"
"2014/11/02","26","231"
"2013/04/08","985","2264"
"2020/12/04","582","3561"
"2018/05/15","470","3433"
"2018/06/11","94","5739"
"2016/01/24","531","5864"
"2019/06/17","945","1145"
"2014/12/29","128","229"
"2018/04/07","491","1737"
"2015/09/02","285","4196"
"2021/11/21","199","5562"
"2012/08/17","10","6988"
"2012/09/30","833","104"
"2019/11/08","99","5413"
"2015/09/15","806","6069"
"2019/11/18","445","1905"
"2014/07/11","85","6093"
"2018/04/04","466","4997"
"2015/08/04","104","1837"
"2012/12/04","583","6885"
"2015/03/01","899","2329"
"2013/05/13","241","3146"
"2018/09/11","310","1956"
"2018/04/02","846","6419"
"2019/02/25","452","6314"
"2020/10/03","113","750"
"2021/06/10","838","4218"
"2019/11/08","746","6541"
"2021/08/06","445","491"
"2013/07/03","111","5471"
"2021/04/11","755","700"
"2014/12/20","469","2426"
"2013/01/21","296","7865"
"2021/12/02","697","1485"
"2013/10/04","495","4194"
"2018/08/15","905","1134"
"2015/04/01","708","4248"
"2017/08/17","207","6375"
"2020/05/07","159","3509"
"2014/03/03","24","64"
"2020/09/15","106","122"
"2019/08/02","684","4762"
"2016/04/28","15","5672"
"2018/09/11","743","7615"
"2022/01/13","652","3185"
"2013/03/28","412","6145"
"2020/12/05","29","5066"
"2017/09/30","734","2616"
"2021/01/24","829","6591"
"2020/09/21","634","4531"
"2019/07/02","545","1533"
"2017/07/10","782","3025"
"2014/11/24","793","5925"
"2017/11/14","296","3362"
"2019/01/04","440","7469"
"2016/06/12","649","461"
"2013/12/08","986","1933"
"2020/09/18","812","7268"
"2016/01/03","369","1960"
"2020/05/12","572","7071"
"2021/01/16","724","4046"
"2019/07/30","158","4191"
"2015/04/16","935","7955"
"2021/01/13","829","7291"
"2013/01/19","726","3743"
"2021/05/03","809","3401"
"2021/03/19","896","6556"
"2012/08/19","10","1001"
"2016/01/26","826","750"
"2013/11/29","334","4937"
"2016/06/20","738","4403"
"2014/10/02","922","6632"
"2021/02/09","319","7138"
"2019/04/08","650","2011"
"2014/06/29","227","4236"
"2019/01/08","285","6747"
"2020/05/16","675","4339"
"2020/03/09","252","7892"
"2017/09/03","782","6620"
"2012/04/30","610","4622"
"2014/02/18","598","6104"
"2014/09/29","923","4819"
"2019/05/26","771","4903"
"2019/07/27","956","2361"
"2019/10/05","636","6454"
"2015/04/06","745","2460"
"2017/08/11","63","1408"
"2012/05/17","435","1086"
"2012/04/03","836","1634"
"2015/02/19","405","3451"
"2014/01/18","450","2908"
"2012/05/24","657","5718"
"2015/03/12","150","5111"
"2020/11/22","118","3561"
"2019/02/22","792","3411"
"2013/04/29","508","2889"
"2020/11/11","569","651"
"2013/09/20","684","3984"
"2014/05/12","948","4283"
"2012/05/21","927","2516"
"2016/12/24","216","4499"
"2021/09/14","461","7323"
"2016/10/07","888","3746"
"2013/12/27","595","3566"
"2016/06/19","855","1700"
"2019/04/25","302","2775"
"2012/09/22","542","1770"
"2016/10/04","681","2546"
"2019/12/11","557","3579"
"2012/02/25","728","4050"
"2016/03/28","265","4411"
"2017/11/03","82","5241"
"2020/08/30","478","3436"
"2021/08/12","886","5571"
"2019/01/31","990","5609"
"2017/12/30","789","4247"
"2021/06/15","984","1453"
"2021/02/18","63","4468"
"2020/09/19","446","6479"
"2020/12/22","314","6816"
"2012/04/06","594","7881"
"2019/04/11","795","5901"
"2021/07/27","995","6134"
"2013/07/21","309","7545"
"2015/07/14","452","7512"
"2019/12/17","874","3261"
"2019/01/23","995","4069"
"2014/02/25","824","2455"
"2015/02/03","319","6472"
"2020/02/14","757","6746"
"2018/02/22","724","128"
"2017/12/03","829","6967"
"2019/07/18","295","4378"
"2021/10/16","182","3883"
"2016/11/25","263","4100"
"2021/10/07","931","2336"
"2015/06/05","748","879"
"2012/10/01","27","1492"
"2020/11/11","901","4967"
"2015/01/05","447","1040"
"2018/05/14","172","3611"
"2016/08/13","692","4649"
"2020/07/11","940","3829"
"2017/10/12","222","7692"
"2015/05/01","939","6614"
"2018/05/31","535","6166"
"2015/03/02","965","554"
"2016/07/05","880","5972"
"2021/04/22","190","6212"
"2014/02/08","153","6117"
"2016/03/26","949","2166"
"2017/03/29","404","136"
"2016/05/05","308","3422"
"2014/04/03","544","2955"
"2018/07/08","794","3017"
"2015/05/05","198","5615"
"2015/01/10","720","7895"
"2020/11/01","438","3736"
"2012/06/15","129","768"
"2012/06/11","55","5255"
